Symbol,Dzien,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2845.N,D,19990104,100,100,100,100,0,0
2845.N,D,19990105,100.02,100.02,100.02,100.02,0,0
2845.N,D,19990106,100.03,100.03,100.03,100.03,0,0
2845.N,D,19990107,100.07,100.07,100.07,100.07,0,0
2845.N,D,19990108,100.11,100.11,100.11,100.11,0,0
2845.N,D,19990111,100.2,100.2,100.2,100.2,0,0
2845.N,D,19990112,100.24,100.24,100.24,100.24,0,0
2845.N,D,19990113,100.28,100.28,100.28,100.28,0,0
2845.N,D,19990114,100.32,100.32,100.32,100.32,0,0
2845.N,D,19990115,100.35,100.35,100.35,100.35,0,0
2845.N,D,19990118,100.45,100.45,100.45,100.45,0,0
2845.N,D,19990119,100.48,100.48,100.48,100.48,0,0
2845.N,D,19990120,100.52,100.52,100.52,100.52,0,0
2845.N,D,19990121,100.61,100.61,100.61,100.61,0,0
2845.N,D,19990122,100.66,100.66,100.66,100.66,0,0
2845.N,D,19990125,100.62,100.62,100.62,100.62,0,0
2845.N,D,19990126,100.67,100.67,100.67,100.67,0,0
2845.N,D,19990127,100.76,100.76,100.76,100.76,0,0
2845.N,D,19990128,100.83,100.83,100.83,100.83,0,0
2845.N,D,19990129,100.9,100.9,100.9,100.9,0,0
2845.N,D,19990201,101.06,101.06,101.06,101.06,0,0
2845.N,D,19990202,101.09,101.09,101.09,101.09,0,0
2845.N,D,19990203,101.15,101.15,101.15,101.15,0,0
2845.N,D,19990204,101.13,101.13,101.13,101.13,0,0
2845.N,D,19990205,101.19,101.19,101.19,101.19,0,0
2845.N,D,19990208,101.32,101.32,101.32,101.32,0,0
2845.N,D,19990209,101.39,101.39,101.39,101.39,0,0
2845.N,D,19990210,101.46,101.46,101.46,101.46,0,0
2845.N,D,19990211,101.48,101.48,101.48,101.48,0,0
2845.N,D,19990212,101.48,101.48,101.48,101.48,0,0
2845.N,D,19990215,101.53,101.53,101.53,101.53,0,0
2845.N,D,19990216,101.54,101.54,101.54,101.54,0,0
2845.N,D,19990217,101.56,101.56,101.56,101.56,0,0
2845.N,D,19990218,101.61,101.61,101.61,101.61,0,0
2845.N,D,19990219,101.67,101.67,101.67,101.67,0,0
2845.N,D,19990222,101.72,101.72,101.72,101.72,0,0
2845.N,D,19990223,101.72,101.72,101.72,101.72,0,0
2845.N,D,19990224,101.75,101.75,101.75,101.75,0,0
2845.N,D,19990225,101.79,101.79,101.79,101.79,0,0
2845.N,D,19990226,101.83,101.83,101.83,101.83,0,0
2845.N,D,19990301,101.86,101.86,101.86,101.86,0,0
2845.N,D,19990302,101.87,101.87,101.87,101.87,0,0
2845.N,D,19990303,101.87,101.87,101.87,101.87,0,0
2845.N,D,19990304,101.94,101.94,101.94,101.94,0,0
2845.N,D,19990305,101.97,101.97,101.97,101.97,0,0
2845.N,D,19990308,102.03,102.03,102.03,102.03,0,0
2845.N,D,19990309,102.08,102.08,102.08,102.08,0,0
2845.N,D,19990310,102.14,102.14,102.14,102.14,0,0
2845.N,D,19990311,102.17,102.17,102.17,102.17,0,0
2845.N,D,19990312,102.14,102.14,102.14,102.14,0,0
2845.N,D,19990315,102.22,102.22,102.22,102.22,0,0
2845.N,D,19990316,102.25,102.25,102.25,102.25,0,0
2845.N,D,19990317,102.23,102.23,102.23,102.23,0,0
2845.N,D,19990318,102.31,102.31,102.31,102.31,0,0
2845.N,D,19990319,102.39,102.39,102.39,102.39,0,0
2845.N,D,19990322,102.46,102.46,102.46,102.46,0,0
2845.N,D,19990323,102.48,102.48,102.48,102.48,0,0
2845.N,D,19990324,102.5,102.5,102.5,102.5,0,0
2845.N,D,19990325,102.5,102.5,102.5,102.5,0,0
2845.N,D,19990326,102.55,102.55,102.55,102.55,0,0
2845.N,D,19990329,102.59,102.59,102.59,102.59,0,0
2845.N,D,19990330,102.78,102.78,102.78,102.78,0,0
2845.N,D,19990331,102.89,102.89,102.89,102.89,0,0
2845.N,D,19990401,102.78,102.78,102.78,102.78,0,0
2845.N,D,19990402,102.78,102.78,102.78,102.78,0,0
2845.N,D,19990406,102.95,102.95,102.95,102.95,0,0
2845.N,D,19990407,102.99,102.99,102.99,102.99,0,0
2845.N,D,19990408,103.07,103.07,103.07,103.07,0,0
2845.N,D,19990409,103.12,103.12,103.12,103.12,0,0
2845.N,D,19990412,103.18,103.18,103.18,103.18,0,0
2845.N,D,19990413,103.2,103.2,103.2,103.2,0,0
2845.N,D,19990414,103.24,103.24,103.24,103.24,0,0
2845.N,D,19990415,103.26,103.26,103.26,103.26,0,0
2845.N,D,19990416,103.31,103.31,103.31,103.31,0,0
2845.N,D,19990419,103.41,103.41,103.41,103.41,0,0
2845.N,D,19990420,103.43,103.43,103.43,103.43,0,0
2845.N,D,19990421,103.41,103.41,103.41,103.41,0,0
2845.N,D,19990422,103.41,103.41,103.41,103.41,0,0
2845.N,D,19990423,103.42,103.42,103.42,103.42,0,0
2845.N,D,19990426,103.49,103.49,103.49,103.49,0,0
2845.N,D,19990427,103.51,103.51,103.51,103.51,0,0
2845.N,D,19990428,103.59,103.59,103.59,103.59,0,0
2845.N,D,19990429,103.64,103.64,103.64,103.64,0,0
2845.N,D,19990430,103.71,103.71,103.71,103.71,0,0
2845.N,D,19990504,103.82,103.82,103.82,103.82,0,0
2845.N,D,19990505,103.9,103.9,103.9,103.9,0,0
2845.N,D,19990506,104.03,104.03,104.03,104.03,0,0
2845.N,D,19990507,104.06,104.06,104.06,104.06,0,0
2845.N,D,19990510,104.13,104.13,104.13,104.13,0,0
2845.N,D,19990511,104.16,104.16,104.16,104.16,0,0
2845.N,D,19990512,104.15,104.15,104.15,104.15,0,0
2845.N,D,19990513,104.15,104.15,104.15,104.15,0,0
2845.N,D,19990514,104.18,104.18,104.18,104.18,0,0
2845.N,D,19990517,104.2,104.2,104.2,104.2,0,0
2845.N,D,19990518,104.25,104.25,104.25,104.25,0,0
2845.N,D,19990519,104.27,104.27,104.27,104.27,0,0
2845.N,D,19990520,104.32,104.32,104.32,104.32,0,0
2845.N,D,19990521,104.32,104.32,104.32,104.32,0,0
2845.N,D,19990524,104.36,104.36,104.36,104.36,0,0
2845.N,D,19990525,104.34,104.34,104.34,104.34,0,0
