Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,20020220,118.21,118.21,118.21,118.21,0,0
2644.N,D,20020221,118.52,118.52,118.52,118.52,0,0
2644.N,D,20020222,117.86,117.86,117.86,117.86,0,0
2644.N,D,20020225,117.2,117.2,117.2,117.2,0,0
2644.N,D,20020226,118.91,118.91,118.91,118.91,0,0
2644.N,D,20020227,119.31,119.31,119.31,119.31,0,0
2644.N,D,20020228,119.46,119.46,119.46,119.46,0,0
2644.N,D,20020301,118.92,118.92,118.92,118.92,0,0
2644.N,D,20020304,119.7,119.7,119.7,119.7,0,0
2644.N,D,20020305,120.14,120.14,120.14,120.14,0,0
2644.N,D,20020306,119.82,119.82,119.82,119.82,0,0
2644.N,D,20020307,119.26,119.26,119.26,119.26,0,0
2644.N,D,20020308,120.49,120.49,120.49,120.49,0,0
2644.N,D,20020311,120.61,120.61,120.61,120.61,0,0
2644.N,D,20020312,119.12,119.12,119.12,119.12,0,0
2644.N,D,20020313,117.52,117.52,117.52,117.52,0,0
2644.N,D,20020314,118.32,118.32,118.32,118.32,0,0
2644.N,D,20020315,118.89,118.89,118.89,118.89,0,0
2644.N,D,20020318,118.54,118.54,118.54,118.54,0,0
2644.N,D,20020319,117.45,117.45,117.45,117.45,0,0
2644.N,D,20020320,116.1,116.1,116.1,116.1,0,0
2644.N,D,20020321,116.51,116.51,116.51,116.51,0,0
2644.N,D,20020322,116.98,116.98,116.98,116.98,0,0
2644.N,D,20020325,119.1,119.1,119.1,119.1,0,0
2644.N,D,20020326,116.75,116.75,116.75,116.75,0,0
2644.N,D,20020327,116.81,116.81,116.81,116.81,0,0
2644.N,D,20020328,117.41,117.41,117.41,117.41,0,0
2644.N,D,20020329,117.41,117.41,117.41,117.41,0,0
2644.N,D,20020402,117.11,117.11,117.11,117.11,0,0
2644.N,D,20020403,116.08,116.08,116.08,116.08,0,0
2644.N,D,20020404,115.77,115.77,115.77,115.77,0,0
2644.N,D,20020405,115.9,115.9,115.9,115.9,0,0
2644.N,D,20020408,117.44,117.44,117.44,117.44,0,0
2644.N,D,20020409,117.1,117.1,117.1,117.1,0,0
2644.N,D,20020410,118.65,118.65,118.65,118.65,0,0
2644.N,D,20020411,118.45,118.45,118.45,118.45,0,0
2644.N,D,20020412,118.11,118.11,118.11,118.11,0,0
2644.N,D,20020415,117.15,117.15,117.15,117.15,0,0
2644.N,D,20020416,117.74,117.74,117.74,117.74,0,0
2644.N,D,20020417,118.1,118.1,118.1,118.1,0,0
2644.N,D,20020418,117.61,117.61,117.61,117.61,0,0
2644.N,D,20020419,116.99,116.99,116.99,116.99,0,0
2644.N,D,20020422,116.27,116.27,116.27,116.27,0,0
2644.N,D,20020423,116.56,116.56,116.56,116.56,0,0
2644.N,D,20020424,117.03,117.03,117.03,117.03,0,0
2644.N,D,20020425,116.71,116.71,116.71,116.71,0,0
2644.N,D,20020426,117.36,117.36,117.36,117.36,0,0
2644.N,D,20020429,118.11,118.11,118.11,118.11,0,0
2644.N,D,20020430,118.65,118.65,118.65,118.65,0,0
2644.N,D,20020502,118.11,118.11,118.11,118.11,0,0
2644.N,D,20020506,116.97,116.97,116.97,116.97,0,0
2644.N,D,20020507,116.72,116.72,116.72,116.72,0,0
2644.N,D,20020508,115.93,115.93,115.93,115.93,0,0
2644.N,D,20020509,116.62,116.62,116.62,116.62,0,0
2644.N,D,20020510,116.71,116.71,116.71,116.71,0,0
2644.N,D,20020513,116.36,116.36,116.36,116.36,0,0
2644.N,D,20020514,116.45,116.45,116.45,116.45,0,0
2644.N,D,20020515,117.19,117.19,117.19,117.19,0,0
2644.N,D,20020516,117.47,117.47,117.47,117.47,0,0
2644.N,D,20020517,120.65,120.65,120.65,120.65,0,0
2644.N,D,20020520,122.3,122.3,122.3,122.3,0,0
2644.N,D,20020521,121.75,121.75,121.75,121.75,0,0
2644.N,D,20020522,122.47,122.47,122.47,122.47,0,0
2644.N,D,20020523,121.73,121.73,121.73,121.73,0,0
2644.N,D,20020524,121.98,121.98,121.98,121.98,0,0
2644.N,D,20020527,122.38,122.38,122.38,122.38,0,0
2644.N,D,20020528,122.51,122.51,122.51,122.51,0,0
2644.N,D,20020529,121.88,121.88,121.88,121.88,0,0
2644.N,D,20020531,122.44,122.44,122.44,122.44,0,0
2644.N,D,20020603,121.98,121.98,121.98,121.98,0,0
2644.N,D,20020604,123.29,123.29,123.29,123.29,0,0
2644.N,D,20020605,122.48,122.48,122.48,122.48,0,0
2644.N,D,20020606,122.73,122.73,122.73,122.73,0,0
2644.N,D,20020607,122.36,122.36,122.36,122.36,0,0
2644.N,D,20020610,121.47,121.47,121.47,121.47,0,0
2644.N,D,20020611,121.45,121.45,121.45,121.45,0,0
2644.N,D,20020612,121.2,121.2,121.2,121.2,0,0
2644.N,D,20020613,121.24,121.24,121.24,121.24,0,0
2644.N,D,20020614,120.69,120.69,120.69,120.69,0,0
2644.N,D,20020617,118.61,118.61,118.61,118.61,0,0
2644.N,D,20020618,118.81,118.81,118.81,118.81,0,0
2644.N,D,20020619,118.02,118.02,118.02,118.02,0,0
2644.N,D,20020620,116.42,116.42,116.42,116.42,0,0
2644.N,D,20020621,116.33,116.33,116.33,116.33,0,0
2644.N,D,20020624,117.33,117.33,117.33,117.33,0,0
2644.N,D,20020625,115.27,115.27,115.27,115.27,0,0
2644.N,D,20020626,114.13,114.13,114.13,114.13,0,0
2644.N,D,20020627,112.36,112.36,112.36,112.36,0,0
2644.N,D,20020628,112.69,112.69,112.69,112.69,0,0
2644.N,D,20020701,111.14,111.14,111.14,111.14,0,0
2644.N,D,20020702,110.83,110.83,110.83,110.83,0,0
2644.N,D,20020703,109.25,109.25,109.25,109.25,0,0
2644.N,D,20020704,109,109,109,109,0,0
2644.N,D,20020705,108.28,108.28,108.28,108.28,0,0
2644.N,D,20020708,109.69,109.69,109.69,109.69,0,0
2644.N,D,20020709,109.71,109.71,109.71,109.71,0,0
2644.N,D,20020710,110.22,110.22,110.22,110.22,0,0
2644.N,D,20020711,109,109,109,109,0,0
2644.N,D,20020712,107.34,107.34,107.34,107.34,0,0
2644.N,D,20020715,107.42,107.42,107.42,107.42,0,0
2644.N,D,20020716,106.38,106.38,106.38,106.38,0,0
2644.N,D,20020717,106.54,106.54,106.54,106.54,0,0
2644.N,D,20020718,108.77,108.77,108.77,108.77,0,0
2644.N,D,20020719,106.89,106.89,106.89,106.89,0,0
2644.N,D,20020722,104.97,104.97,104.97,104.97,0,0
2644.N,D,20020723,102.55,102.55,102.55,102.55,0,0
2644.N,D,20020724,103.49,103.49,103.49,103.49,0,0
2644.N,D,20020725,100.66,100.66,100.66,100.66,0,0
2644.N,D,20020726,99.21,99.21,99.21,99.21,0,0
2644.N,D,20020729,101.03,101.03,101.03,101.03,0,0
2644.N,D,20020730,100.01,100.01,100.01,100.01,0,0
2644.N,D,20020731,100.9,100.9,100.9,100.9,0,0
2644.N,D,20020801,101.35,101.35,101.35,101.35,0,0
2644.N,D,20020802,102.74,102.74,102.74,102.74,0,0
2644.N,D,20020805,101.72,101.72,101.72,101.72,0,0
2644.N,D,20020806,101.39,101.39,101.39,101.39,0,0
2644.N,D,20020807,101.53,101.53,101.53,101.53,0,0
2644.N,D,20020808,100.47,100.47,100.47,100.47,0,0
2644.N,D,20020809,100.69,100.69,100.69,100.69,0,0
2644.N,D,20020812,100.77,100.77,100.77,100.77,0,0
2644.N,D,20020813,100.36,100.36,100.36,100.36,0,0
2644.N,D,20020814,102.74,102.74,102.74,102.74,0,0
2644.N,D,20020816,101.92,101.92,101.92,101.92,0,0
2644.N,D,20020819,102.25,102.25,102.25,102.25,0,0
2644.N,D,20020820,102.5,102.5,102.5,102.5,0,0
2644.N,D,20020821,102.16,102.16,102.16,102.16,0,0
2644.N,D,20020822,105.08,105.08,105.08,105.08,0,0
2644.N,D,20020823,105.28,105.28,105.28,105.28,0,0
2644.N,D,20020826,105.36,105.36,105.36,105.36,0,0
2644.N,D,20020827,105.96,105.96,105.96,105.96,0,0
2644.N,D,20020828,108.12,108.12,108.12,108.12,0,0
2644.N,D,20020829,106.56,106.56,106.56,106.56,0,0
2644.N,D,20020830,105.03,105.03,105.03,105.03,0,0
2644.N,D,20020902,106.14,106.14,106.14,106.14,0,0
2644.N,D,20020903,106.03,106.03,106.03,106.03,0,0
2644.N,D,20020904,103.31,103.31,103.31,103.31,0,0
2644.N,D,20020905,102.26,102.26,102.26,102.26,0,0
2644.N,D,20020906,101.81,101.81,101.81,101.81,0,0
2644.N,D,20020909,103.32,103.32,103.32,103.32,0,0
2644.N,D,20020910,103.62,103.62,103.62,103.62,0,0
2644.N,D,20020911,104.91,104.91,104.91,104.91,0,0
2644.N,D,20020912,105.94,105.94,105.94,105.94,0,0
2644.N,D,20020913,104.36,104.36,104.36,104.36,0,0
2644.N,D,20020916,103.77,103.77,103.77,103.77,0,0
2644.N,D,20020917,104.43,104.43,104.43,104.43,0,0
2644.N,D,20020918,104.71,104.71,104.71,104.71,0,0
2644.N,D,20020919,103.19,103.19,103.19,103.19,0,0
2644.N,D,20020920,103.04,103.04,103.04,103.04,0,0
2644.N,D,20020923,103.95,103.95,103.95,103.95,0,0
2644.N,D,20020924,103.67,103.67,103.67,103.67,0,0
2644.N,D,20020925,101.6,101.6,101.6,101.6,0,0
2644.N,D,20020926,102.89,102.89,102.89,102.89,0,0
2644.N,D,20020927,102.68,102.68,102.68,102.68,0,0
2644.N,D,20020930,102.24,102.24,102.24,102.24,0,0
2644.N,D,20021001,100.86,100.86,100.86,100.86,0,0
2644.N,D,20021002,100.43,100.43,100.43,100.43,0,0
2644.N,D,20021003,100.55,100.55,100.55,100.55,0,0
2644.N,D,20021004,101.14,101.14,101.14,101.14,0,0
2644.N,D,20021007,101,101,101,101,0,0
2644.N,D,20021008,99.99,99.99,99.99,99.99,0,0
2644.N,D,20021009,100.18,100.18,100.18,100.18,0,0
2644.N,D,20021010,100.23,100.23,100.23,100.23,0,0
2644.N,D,20021011,101.2,101.2,101.2,101.2,0,0
2644.N,D,20021014,103.13,103.13,103.13,103.13,0,0
2644.N,D,20021015,103.23,103.23,103.23,103.23,0,0
2644.N,D,20021016,104.89,104.89,104.89,104.89,0,0
2644.N,D,20021017,104.55,104.55,104.55,104.55,0,0
2644.N,D,20021018,104.41,104.41,104.41,104.41,0,0
2644.N,D,20021021,105.7,105.7,105.7,105.7,0,0
2644.N,D,20021022,106.28,106.28,106.28,106.28,0,0
2644.N,D,20021023,107.32,107.32,107.32,107.32,0,0
2644.N,D,20021024,107.17,107.17,107.17,107.17,0,0
2644.N,D,20021025,107.08,107.08,107.08,107.08,0,0
2644.N,D,20021028,106.68,106.68,106.68,106.68,0,0
2644.N,D,20021029,109.54,109.54,109.54,109.54,0,0
2644.N,D,20021030,109.86,109.86,109.86,109.86,0,0
2644.N,D,20021031,109.67,109.67,109.67,109.67,0,0
2644.N,D,20021104,110.03,110.03,110.03,110.03,0,0
2644.N,D,20021105,110.67,110.67,110.67,110.67,0,0
2644.N,D,20021106,109.4,109.4,109.4,109.4,0,0
2644.N,D,20021107,108.04,108.04,108.04,108.04,0,0
2644.N,D,20021108,107.27,107.27,107.27,107.27,0,0
2644.N,D,20021112,107.48,107.48,107.48,107.48,0,0
2644.N,D,20021113,107.52,107.52,107.52,107.52,0,0
2644.N,D,20021114,107.37,107.37,107.37,107.37,0,0
2644.N,D,20021115,108.57,108.57,108.57,108.57,0,0
2644.N,D,20021118,107.86,107.86,107.86,107.86,0,0
2644.N,D,20021119,108.5,108.5,108.5,108.5,0,0
2644.N,D,20021120,109.08,109.08,109.08,109.08,0,0
2644.N,D,20021121,109.22,109.22,109.22,109.22,0,0
2644.N,D,20021122,111.9,111.9,111.9,111.9,0,0
2644.N,D,20021125,112.28,112.28,112.28,112.28,0,0
2644.N,D,20021126,114.32,114.32,114.32,114.32,0,0
2644.N,D,20021127,113.62,113.62,113.62,113.62,0,0
2644.N,D,20021128,114.35,114.35,114.35,114.35,0,0
2644.N,D,20021129,114.44,114.44,114.44,114.44,0,0
2644.N,D,20021202,113.91,113.91,113.91,113.91,0,0
2644.N,D,20021203,116.46,116.46,116.46,116.46,0,0
2644.N,D,20021204,116.75,116.75,116.75,116.75,0,0
2644.N,D,20021205,115.6,115.6,115.6,115.6,0,0
2644.N,D,20021206,115.94,115.94,115.94,115.94,0,0
2644.N,D,20021209,114.66,114.66,114.66,114.66,0,0
2644.N,D,20021210,114.94,114.94,114.94,114.94,0,0
2644.N,D,20021211,113.5,113.5,113.5,113.5,0,0
2644.N,D,20021212,112.83,112.83,112.83,112.83,0,0
2644.N,D,20021213,113.69,113.69,113.69,113.69,0,0
2644.N,D,20021216,113.51,113.51,113.51,113.51,0,0
2644.N,D,20021217,113.74,113.74,113.74,113.74,0,0
2644.N,D,20021218,113.11,113.11,113.11,113.11,0,0
2644.N,D,20021219,110.68,110.68,110.68,110.68,0,0
2644.N,D,20021220,110.56,110.56,110.56,110.56,0,0
2644.N,D,20021223,110.53,110.53,110.53,110.53,0,0
2644.N,D,20021224,110.53,110.53,110.53,110.53,0,0
2644.N,D,20021227,111.6,111.6,111.6,111.6,0,0
2644.N,D,20021230,112.36,112.36,112.36,112.36,0,0
2644.N,D,20021231,113,113,113,113,0,0
2644.N,D,20030102,112.62,112.62,112.62,112.62,0,0
2644.N,D,20030103,112.32,112.32,112.32,112.32,0,0
2644.N,D,20030106,115.06,115.06,115.06,115.06,0,0
2644.N,D,20030107,115.73,115.73,115.73,115.73,0,0
2644.N,D,20030108,116.33,116.33,116.33,116.33,0,0
2644.N,D,20030109,115.43,115.43,115.43,115.43,0,0
2644.N,D,20030110,115.71,115.71,115.71,115.71,0,0
2644.N,D,20030113,115.77,115.77,115.77,115.77,0,0
2644.N,D,20030114,118.21,118.21,118.21,118.21,0,0
2644.N,D,20030115,117.44,117.44,117.44,117.44,0,0
2644.N,D,20030116,117.37,117.37,117.37,117.37,0,0
2644.N,D,20030117,116.09,116.09,116.09,116.09,0,0
2644.N,D,20030120,114.48,114.48,114.48,114.48,0,0
2644.N,D,20030121,114.18,114.18,114.18,114.18,0,0
2644.N,D,20030122,113.38,113.38,113.38,113.38,0,0
2644.N,D,20030123,112.3,112.3,112.3,112.3,0,0
2644.N,D,20030124,113.83,113.83,113.83,113.83,0,0
2644.N,D,20030127,111.64,111.64,111.64,111.64,0,0
2644.N,D,20030128,109.64,109.64,109.64,109.64,0,0
2644.N,D,20030129,110.01,110.01,110.01,110.01,0,0
2644.N,D,20030130,110.65,110.65,110.65,110.65,0,0
2644.N,D,20030131,109.46,109.46,109.46,109.46,0,0
2644.N,D,20030203,109.68,109.68,109.68,109.68,0,0
2644.N,D,20030204,111.46,111.46,111.46,111.46,0,0
2644.N,D,20030205,109.66,109.66,109.66,109.66,0,0
2644.N,D,20030206,109.55,109.55,109.55,109.55,0,0
2644.N,D,20030207,108.14,108.14,108.14,108.14,0,0
2644.N,D,20030210,109.1,109.1,109.1,109.1,0,0
2644.N,D,20030211,109.45,109.45,109.45,109.45,0,0
2644.N,D,20030212,109.87,109.87,109.87,109.87,0,0
2644.N,D,20030213,108.86,108.86,108.86,108.86,0,0
2644.N,D,20030214,109.32,109.32,109.32,109.32,0,0
2644.N,D,20030217,109,109,109,109,0,0
2644.N,D,20030218,110.36,110.36,110.36,110.36,0,0
2644.N,D,20030219,109.38,109.38,109.38,109.38,0,0
2644.N,D,20030220,108.62,108.62,108.62,108.62,0,0
2644.N,D,20030221,109.85,109.85,109.85,109.85,0,0
2644.N,D,20030224,109.58,109.58,109.58,109.58,0,0
2644.N,D,20030225,108.78,108.78,108.78,108.78,0,0
2644.N,D,20030226,107.3,107.3,107.3,107.3,0,0
2644.N,D,20030227,107.39,107.39,107.39,107.39,0,0
2644.N,D,20030228,107.66,107.66,107.66,107.66,0,0
2644.N,D,20030303,108.23,108.23,108.23,108.23,0,0
2644.N,D,20030304,107.65,107.65,107.65,107.65,0,0
2644.N,D,20030305,106.46,106.46,106.46,106.46,0,0
2644.N,D,20030306,106.53,106.53,106.53,106.53,0,0
2644.N,D,20030307,106.66,106.66,106.66,106.66,0,0
2644.N,D,20030310,107.38,107.38,107.38,107.38,0,0
2644.N,D,20030311,109.81,109.81,109.81,109.81,0,0
2644.N,D,20030312,109.05,109.05,109.05,109.05,0,0
2644.N,D,20030313,108.99,108.99,108.99,108.99,0,0
2644.N,D,20030314,109.64,109.64,109.64,109.64,0,0
2644.N,D,20030317,108.88,108.88,108.88,108.88,0,0
2644.N,D,20030318,107.31,107.31,107.31,107.31,0,0
2644.N,D,20030319,108.74,108.74,108.74,108.74,0,0
2644.N,D,20030320,108.43,108.43,108.43,108.43,0,0
2644.N,D,20030321,108.76,108.76,108.76,108.76,0,0
2644.N,D,20030324,110.04,110.04,110.04,110.04,0,0
2644.N,D,20030325,109.96,109.96,109.96,109.96,0,0
2644.N,D,20030326,109.66,109.66,109.66,109.66,0,0
2644.N,D,20030327,109.7,109.7,109.7,109.7,0,0
2644.N,D,20030328,109.15,109.15,109.15,109.15,0,0
2644.N,D,20030331,109.03,109.03,109.03,109.03,0,0
2644.N,D,20030401,107.5,107.5,107.5,107.5,0,0
2644.N,D,20030402,107.51,107.51,107.51,107.51,0,0
2644.N,D,20030403,108.75,108.75,108.75,108.75,0,0
2644.N,D,20030404,110.23,110.23,110.23,110.23,0,0
2644.N,D,20030407,110.48,110.48,110.48,110.48,0,0
2644.N,D,20030408,112.39,112.39,112.39,112.39,0,0
2644.N,D,20030409,112.23,112.23,112.23,112.23,0,0
2644.N,D,20030410,112.78,112.78,112.78,112.78,0,0
2644.N,D,20030411,111.93,111.93,111.93,111.93,0,0
2644.N,D,20030414,111.51,111.51,111.51,111.51,0,0
2644.N,D,20030415,110.37,110.37,110.37,110.37,0,0
2644.N,D,20030416,110.51,110.51,110.51,110.51,0,0
2644.N,D,20030417,110.21,110.21,110.21,110.21,0,0
2644.N,D,20030418,110.21,110.21,110.21,110.21,0,0
2644.N,D,20030422,110.73,110.73,110.73,110.73,0,0
2644.N,D,20030423,111.05,111.05,111.05,111.05,0,0
2644.N,D,20030424,111.74,111.74,111.74,111.74,0,0
2644.N,D,20030425,110.81,110.81,110.81,110.81,0,0
2644.N,D,20030428,111.65,111.65,111.65,111.65,0,0
2644.N,D,20030429,112.84,112.84,112.84,112.84,0,0
2644.N,D,20030430,113.03,113.03,113.03,113.03,0,0
2644.N,D,20030502,113.32,113.32,113.32,113.32,0,0
2644.N,D,20030505,114.41,114.41,114.41,114.41,0,0
2644.N,D,20030506,115.84,115.84,115.84,115.84,0,0
2644.N,D,20030507,116.98,116.98,116.98,116.98,0,0
2644.N,D,20030508,116.24,116.24,116.24,116.24,0,0
2644.N,D,20030509,116.62,116.62,116.62,116.62,0,0
2644.N,D,20030512,116.96,116.96,116.96,116.96,0,0
2644.N,D,20030513,117.08,117.08,117.08,117.08,0,0
2644.N,D,20030514,116.83,116.83,116.83,116.83,0,0
2644.N,D,20030515,118.28,118.28,118.28,118.28,0,0
2644.N,D,20030516,118.17,118.17,118.17,118.17,0,0
2644.N,D,20030519,118.44,118.44,118.44,118.44,0,0
2644.N,D,20030520,118.06,118.06,118.06,118.06,0,0
2644.N,D,20030521,118.38,118.38,118.38,118.38,0,0
2644.N,D,20030522,119.1,119.1,119.1,119.1,0,0
2644.N,D,20030523,119.25,119.25,119.25,119.25,0,0
2644.N,D,20030526,119.51,119.51,119.51,119.51,0,0
2644.N,D,20030527,119.87,119.87,119.87,119.87,0,0
2644.N,D,20030528,118.79,118.79,118.79,118.79,0,0
2644.N,D,20030529,119.33,119.33,119.33,119.33,0,0
2644.N,D,20030530,119.78,119.78,119.78,119.78,0,0
2644.N,D,20030602,121.08,121.08,121.08,121.08,0,0
2644.N,D,20030603,120.66,120.66,120.66,120.66,0,0
2644.N,D,20030604,121.1,121.1,121.1,121.1,0,0
2644.N,D,20030605,122.11,122.11,122.11,122.11,0,0
2644.N,D,20030606,122,122,122,122,0,0
2644.N,D,20030609,122.75,122.75,122.75,122.75,0,0
2644.N,D,20030610,121.71,121.71,121.71,121.71,0,0
2644.N,D,20030611,121.76,121.76,121.76,121.76,0,0
2644.N,D,20030612,122.61,122.61,122.61,122.61,0,0
2644.N,D,20030613,123.62,123.62,123.62,123.62,0,0
2644.N,D,20030616,123.3,123.3,123.3,123.3,0,0
2644.N,D,20030617,123.77,123.77,123.77,123.77,0,0
2644.N,D,20030618,125.06,125.06,125.06,125.06,0,0
2644.N,D,20030620,125.9,125.9,125.9,125.9,0,0
2644.N,D,20030623,126.24,126.24,126.24,126.24,0,0
2644.N,D,20030624,125.78,125.78,125.78,125.78,0,0
2644.N,D,20030625,125.05,125.05,125.05,125.05,0,0
2644.N,D,20030626,126.38,126.38,126.38,126.38,0,0
2644.N,D,20030627,126.94,126.94,126.94,126.94,0,0
2644.N,D,20030630,126.71,126.71,126.71,126.71,0,0
2644.N,D,20030701,127.48,127.48,127.48,127.48,0,0
2644.N,D,20030702,126.35,126.35,126.35,126.35,0,0
2644.N,D,20030703,127.64,127.64,127.64,127.64,0,0
2644.N,D,20030704,128.68,128.68,128.68,128.68,0,0
2644.N,D,20030707,130.95,130.95,130.95,130.95,0,0
2644.N,D,20030708,134.34,134.34,134.34,134.34,0,0
2644.N,D,20030709,133.56,133.56,133.56,133.56,0,0
2644.N,D,20030710,135.58,135.58,135.58,135.58,0,0
2644.N,D,20030711,136.94,136.94,136.94,136.94,0,0
2644.N,D,20030714,137.43,137.43,137.43,137.43,0,0
2644.N,D,20030715,140.03,140.03,140.03,140.03,0,0
2644.N,D,20030716,140.2,140.2,140.2,140.2,0,0
2644.N,D,20030717,139.93,139.93,139.93,139.93,0,0
2644.N,D,20030718,140.33,140.33,140.33,140.33,0,0
2644.N,D,20030721,142.26,142.26,142.26,142.26,0,0
2644.N,D,20030722,142.79,142.79,142.79,142.79,0,0
2644.N,D,20030723,141.44,141.44,141.44,141.44,0,0
2644.N,D,20030724,140.13,140.13,140.13,140.13,0,0
2644.N,D,20030725,141.05,141.05,141.05,141.05,0,0
2644.N,D,20030728,141.72,141.72,141.72,141.72,0,0
2644.N,D,20030729,145.81,145.81,145.81,145.81,0,0
2644.N,D,20030730,146.17,146.17,146.17,146.17,0,0
2644.N,D,20030731,144.73,144.73,144.73,144.73,0,0
2644.N,D,20030801,145.32,145.32,145.32,145.32,0,0
2644.N,D,20030804,145.65,145.65,145.65,145.65,0,0
2644.N,D,20030805,145.11,145.11,145.11,145.11,0,0
2644.N,D,20030806,146.38,146.38,146.38,146.38,0,0
2644.N,D,20030807,146.78,146.78,146.78,146.78,0,0
2644.N,D,20030808,151.71,151.71,151.71,151.71,0,0
2644.N,D,20030811,151.13,151.13,151.13,151.13,0,0
2644.N,D,20030812,152.63,152.63,152.63,152.63,0,0
2644.N,D,20030813,155.01,155.01,155.01,155.01,0,0
2644.N,D,20030814,154.59,154.59,154.59,154.59,0,0
2644.N,D,20030818,157.7,157.7,157.7,157.7,0,0
2644.N,D,20030819,159.56,159.56,159.56,159.56,0,0
2644.N,D,20030820,159.47,159.47,159.47,159.47,0,0
2644.N,D,20030821,158.84,158.84,158.84,158.84,0,0
2644.N,D,20030822,162.24,162.24,162.24,162.24,0,0
2644.N,D,20030825,165.55,165.55,165.55,165.55,0,0
2644.N,D,20030826,165.11,165.11,165.11,165.11,0,0
2644.N,D,20030827,167.38,167.38,167.38,167.38,0,0
2644.N,D,20030828,166.48,166.48,166.48,166.48,0,0
2644.N,D,20030829,165.39,165.39,165.39,165.39,0,0
2644.N,D,20030901,168.62,168.62,168.62,168.62,0,0
2644.N,D,20030902,173.59,173.59,173.59,173.59,0,0
2644.N,D,20030903,173.01,173.01,173.01,173.01,0,0
2644.N,D,20030904,170.79,170.79,170.79,170.79,0,0
2644.N,D,20030905,167.68,167.68,167.68,167.68,0,0
2644.N,D,20030908,164.27,164.27,164.27,164.27,0,0
2644.N,D,20030909,164.04,164.04,164.04,164.04,0,0
2644.N,D,20030910,161.73,161.73,161.73,161.73,0,0
2644.N,D,20030911,158.5,158.5,158.5,158.5,0,0
2644.N,D,20030912,159.48,159.48,159.48,159.48,0,0
2644.N,D,20030915,157.22,157.22,157.22,157.22,0,0
2644.N,D,20030916,156.72,156.72,156.72,156.72,0,0
2644.N,D,20030917,160.56,160.56,160.56,160.56,0,0
2644.N,D,20030918,160.16,160.16,160.16,160.16,0,0
2644.N,D,20030919,160.06,160.06,160.06,160.06,0,0
2644.N,D,20030922,160.52,160.52,160.52,160.52,0,0
2644.N,D,20030923,156.87,156.87,156.87,156.87,0,0
2644.N,D,20030924,157.17,157.17,157.17,157.17,0,0
2644.N,D,20030925,157.27,157.27,157.27,157.27,0,0
2644.N,D,20030926,157.1,157.1,157.1,157.1,0,0
2644.N,D,20030929,158.15,158.15,158.15,158.15,0,0
2644.N,D,20030930,157.19,157.19,157.19,157.19,0,0
2644.N,D,20031001,153.82,153.82,153.82,153.82,0,0
2644.N,D,20031002,153.54,153.54,153.54,153.54,0,0
2644.N,D,20031003,155.98,155.98,155.98,155.98,0,0
2644.N,D,20031006,158.05,158.05,158.05,158.05,0,0
2644.N,D,20031007,162.92,162.92,162.92,162.92,0,0
2644.N,D,20031008,161.97,161.97,161.97,161.97,0,0
2644.N,D,20031009,164.21,164.21,164.21,164.21,0,0
2644.N,D,20031010,165.48,165.48,165.48,165.48,0,0
2644.N,D,20031013,165.41,165.41,165.41,165.41,0,0
2644.N,D,20031014,165.34,165.34,165.34,165.34,0,0
2644.N,D,20031015,168.32,168.32,168.32,168.32,0,0
2644.N,D,20031016,170.37,170.37,170.37,170.37,0,0
2644.N,D,20031017,167.45,167.45,167.45,167.45,0,0
2644.N,D,20031020,166.31,166.31,166.31,166.31,0,0
2644.N,D,20031021,165.47,165.47,165.47,165.47,0,0
2644.N,D,20031022,162.26,162.26,162.26,162.26,0,0
2644.N,D,20031023,159.97,159.97,159.97,159.97,0,0
2644.N,D,20031024,160.13,160.13,160.13,160.13,0,0
2644.N,D,20031027,159.01,159.01,159.01,159.01,0,0
2644.N,D,20031028,157.19,157.19,157.19,157.19,0,0
2644.N,D,20031029,161.24,161.24,161.24,161.24,0,0
2644.N,D,20031030,160.72,160.72,160.72,160.72,0,0
2644.N,D,20031031,162.45,162.45,162.45,162.45,0,0
2644.N,D,20031103,161.8,161.8,161.8,161.8,0,0
2644.N,D,20031104,162.73,162.73,162.73,162.73,0,0
2644.N,D,20031105,160.36,160.36,160.36,160.36,0,0
2644.N,D,20031106,159.95,159.95,159.95,159.95,0,0
2644.N,D,20031107,161.49,161.49,161.49,161.49,0,0
2644.N,D,20031110,160.99,160.99,160.99,160.99,0,0
2644.N,D,20031112,162.04,162.04,162.04,162.04,0,0
2644.N,D,20031113,159.87,159.87,159.87,159.87,0,0
2644.N,D,20031114,159.97,159.97,159.97,159.97,0,0
2644.N,D,20031117,160.21,160.21,160.21,160.21,0,0
2644.N,D,20031118,156.9,156.9,156.9,156.9,0,0
2644.N,D,20031119,155.38,155.38,155.38,155.38,0,0
2644.N,D,20031120,152.87,152.87,152.87,152.87,0,0
2644.N,D,20031121,149.14,149.14,149.14,149.14,0,0
2644.N,D,20031124,151.46,151.46,151.46,151.46,0,0
2644.N,D,20031125,152.64,152.64,152.64,152.64,0,0
2644.N,D,20031126,149.93,149.93,149.93,149.93,0,0
2644.N,D,20031127,150.39,150.39,150.39,150.39,0,0
2644.N,D,20031128,151.97,151.97,151.97,151.97,0,0
2644.N,D,20031201,151.98,151.98,151.98,151.98,0,0
2644.N,D,20031202,155.91,155.91,155.91,155.91,0,0
2644.N,D,20031203,156.51,156.51,156.51,156.51,0,0
