Symbol,Dzien,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2840.N,D,19990104,100,100,100,100,0,0
2840.N,D,19990105,100.5,100.5,100.5,100.5,0,0
2840.N,D,19990106,101.02,101.02,101.02,101.02,0,0
2840.N,D,19990107,104.38,104.38,104.38,104.38,0,0
2840.N,D,19990108,104.41,104.41,104.41,104.41,0,0
2840.N,D,19990111,105.88,105.88,105.88,105.88,0,0
2840.N,D,19990112,102.76,102.76,102.76,102.76,0,0
2840.N,D,19990113,99.46,99.46,99.46,99.46,0,0
2840.N,D,19990114,95.47,95.47,95.47,95.47,0,0
2840.N,D,19990115,94.18,94.18,94.18,94.18,0,0
2840.N,D,19990118,99.04,99.04,99.04,99.04,0,0
2840.N,D,19990119,100.27,100.27,100.27,100.27,0,0
2840.N,D,19990120,101.88,101.88,101.88,101.88,0,0
2840.N,D,19990121,104,104,104,104,0,0
2840.N,D,19990122,100.31,100.31,100.31,100.31,0,0
2840.N,D,19990125,98.18,98.18,98.18,98.18,0,0
2840.N,D,19990126,102.4,102.4,102.4,102.4,0,0
2840.N,D,19990127,103.17,103.17,103.17,103.17,0,0
2840.N,D,19990128,101.69,101.69,101.69,101.69,0,0
2840.N,D,19990129,105.93,105.93,105.93,105.93,0,0
2840.N,D,19990201,106.67,106.67,106.67,106.67,0,0
2840.N,D,19990202,105.27,105.27,105.27,105.27,0,0
2840.N,D,19990203,104.92,104.92,104.92,104.92,0,0
2840.N,D,19990204,107.48,107.48,107.48,107.48,0,0
2840.N,D,19990205,105.25,105.25,105.25,105.25,0,0
2840.N,D,19990208,104.34,104.34,104.34,104.34,0,0
2840.N,D,19990209,105.3,105.3,105.3,105.3,0,0
2840.N,D,19990210,103.07,103.07,103.07,103.07,0,0
2840.N,D,19990211,103.63,103.63,103.63,103.63,0,0
2840.N,D,19990212,105.69,105.69,105.69,105.69,0,0
2840.N,D,19990215,104.43,104.43,104.43,104.43,0,0
2840.N,D,19990216,105.54,105.54,105.54,105.54,0,0
2840.N,D,19990217,105.34,105.34,105.34,105.34,0,0
2840.N,D,19990218,104.18,104.18,104.18,104.18,0,0
2840.N,D,19990219,103.96,103.96,103.96,103.96,0,0
2840.N,D,19990222,103.65,103.65,103.65,103.65,0,0
2840.N,D,19990223,103.33,103.33,103.33,103.33,0,0
2840.N,D,19990224,100.91,100.91,100.91,100.91,0,0
2840.N,D,19990225,99.13,99.13,99.13,99.13,0,0
2840.N,D,19990226,98.71,98.71,98.71,98.71,0,0
2840.N,D,19990301,99.72,99.72,99.72,99.72,0,0
2840.N,D,19990302,98.97,98.97,98.97,98.97,0,0
2840.N,D,19990303,99.06,99.06,99.06,99.06,0,0
2840.N,D,19990304,98.31,98.31,98.31,98.31,0,0
2840.N,D,19990305,98.85,98.85,98.85,98.85,0,0
2840.N,D,19990308,100.31,100.31,100.31,100.31,0,0
2840.N,D,19990309,101.44,101.44,101.44,101.44,0,0
2840.N,D,19990310,100.82,100.82,100.82,100.82,0,0
2840.N,D,19990311,100.95,100.95,100.95,100.95,0,0
2840.N,D,19990312,102.39,102.39,102.39,102.39,0,0
2840.N,D,19990315,102.99,102.99,102.99,102.99,0,0
2840.N,D,19990316,102.13,102.13,102.13,102.13,0,0
2840.N,D,19990317,101.61,101.61,101.61,101.61,0,0
2840.N,D,19990318,101.88,101.88,101.88,101.88,0,0
2840.N,D,19990319,103.43,103.43,103.43,103.43,0,0
2840.N,D,19990322,104.95,104.95,104.95,104.95,0,0
2840.N,D,19990323,104.82,104.82,104.82,104.82,0,0
2840.N,D,19990324,100.6,100.6,100.6,100.6,0,0
2840.N,D,19990325,102.69,102.69,102.69,102.69,0,0
2840.N,D,19990326,104.95,104.95,104.95,104.95,0,0
2840.N,D,19990329,103.76,103.76,103.76,103.76,0,0
2840.N,D,19990330,104.43,104.43,104.43,104.43,0,0
2840.N,D,19990331,103.8,103.8,103.8,103.8,0,0
2840.N,D,19990401,104.33,104.33,104.33,104.33,0,0
2840.N,D,19990402,104.33,104.33,104.33,104.33,0,0
2840.N,D,19990406,106,106,106,106,0,0
2840.N,D,19990407,107.17,107.17,107.17,107.17,0,0
2840.N,D,19990408,107.65,107.65,107.65,107.65,0,0
2840.N,D,19990409,107.67,107.67,107.67,107.67,0,0
2840.N,D,19990412,106.48,106.48,106.48,106.48,0,0
2840.N,D,19990413,106.52,106.52,106.52,106.52,0,0
2840.N,D,19990414,104.96,104.96,104.96,104.96,0,0
2840.N,D,19990415,104.31,104.31,104.31,104.31,0,0
2840.N,D,19990416,105.56,105.56,105.56,105.56,0,0
2840.N,D,19990419,108.9,108.9,108.9,108.9,0,0
2840.N,D,19990420,110.33,110.33,110.33,110.33,0,0
2840.N,D,19990421,110.67,110.67,110.67,110.67,0,0
2840.N,D,19990422,111.62,111.62,111.62,111.62,0,0
2840.N,D,19990423,111.82,111.82,111.82,111.82,0,0
2840.N,D,19990426,111.3,111.3,111.3,111.3,0,0
2840.N,D,19990427,110.94,110.94,110.94,110.94,0,0
2840.N,D,19990428,109.93,109.93,109.93,109.93,0,0
2840.N,D,19990429,108.13,108.13,108.13,108.13,0,0
2840.N,D,19990430,109.34,109.34,109.34,109.34,0,0
2840.N,D,19990504,111.8,111.8,111.8,111.8,0,0
2840.N,D,19990505,110.25,110.25,110.25,110.25,0,0
2840.N,D,19990506,110.35,110.35,110.35,110.35,0,0
2840.N,D,19990507,110.03,110.03,110.03,110.03,0,0
2840.N,D,19990510,109.35,109.35,109.35,109.35,0,0
2840.N,D,19990511,108.8,108.8,108.8,108.8,0,0
2840.N,D,19990512,109.35,109.35,109.35,109.35,0,0
2840.N,D,19990513,108.88,108.88,108.88,108.88,0,0
2840.N,D,19990514,109.73,109.73,109.73,109.73,0,0
2840.N,D,19990517,106.92,106.92,106.92,106.92,0,0
2840.N,D,19990518,108.93,108.93,108.93,108.93,0,0
2840.N,D,19990519,111.72,111.72,111.72,111.72,0,0
2840.N,D,19990520,112.29,112.29,112.29,112.29,0,0
2840.N,D,19990521,114.12,114.12,114.12,114.12,0,0
2840.N,D,19990524,113.36,113.36,113.36,113.36,0,0
2840.N,D,19990525,112.06,112.06,112.06,112.06,0,0
2840.N,D,19990526,112.19,112.19,112.19,112.19,0,0
2840.N,D,19990527,113.19,113.19,113.19,113.19,0,0
2840.N,D,19990528,111.18,111.18,111.18,111.18,0,0
2840.N,D,19990531,111.76,111.76,111.76,111.76,0,0
2840.N,D,19990601,112.05,112.05,112.05,112.05,0,0
2840.N,D,19990602,112.83,112.83,112.83,112.83,0,0
2840.N,D,19990604,112.83,112.83,112.83,112.83,0,0
2840.N,D,19990607,113.19,113.19,113.19,113.19,0,0
2840.N,D,19990608,112.4,112.4,112.4,112.4,0,0
2840.N,D,19990609,111.83,111.83,111.83,111.83,0,0
2840.N,D,19990610,114.22,114.22,114.22,114.22,0,0
2840.N,D,19990611,115.66,115.66,115.66,115.66,0,0
2840.N,D,19990614,117.87,117.87,117.87,117.87,0,0
2840.N,D,19990615,117.63,117.63,117.63,117.63,0,0
2840.N,D,19990616,116.94,116.94,116.94,116.94,0,0
2840.N,D,19990617,117.4,117.4,117.4,117.4,0,0
2840.N,D,19990618,117.54,117.54,117.54,117.54,0,0
2840.N,D,19990621,118.4,118.4,118.4,118.4,0,0
2840.N,D,19990622,119.2,119.2,119.2,119.2,0,0
2840.N,D,19990623,117.47,117.47,117.47,117.47,0,0
2840.N,D,19990624,118.07,118.07,118.07,118.07,0,0
2840.N,D,19990625,117.83,117.83,117.83,117.83,0,0
2840.N,D,19990628,118.74,118.74,118.74,118.74,0,0
2840.N,D,19990629,118.31,118.31,118.31,118.31,0,0
2840.N,D,19990630,117.69,117.69,117.69,117.69,0,0
2840.N,D,19990701,119.69,119.69,119.69,119.69,0,0
2840.N,D,19990702,120.99,120.99,120.99,120.99,0,0
2840.N,D,19990705,121,121,121,121,0,0
2840.N,D,19990706,121.06,121.06,121.06,121.06,0,0
2840.N,D,19990707,120.04,120.04,120.04,120.04,0,0
2840.N,D,19990708,120.31,120.31,120.31,120.31,0,0
2840.N,D,19990709,120.69,120.69,120.69,120.69,0,0
2840.N,D,19990712,122.25,122.25,122.25,122.25,0,0
2840.N,D,19990713,120.55,120.55,120.55,120.55,0,0
2840.N,D,19990714,120.08,120.08,120.08,120.08,0,0
2840.N,D,19990715,121.32,121.32,121.32,121.32,0,0
2840.N,D,19990716,121.39,121.39,121.39,121.39,0,0
2840.N,D,19990719,120.8,120.8,120.8,120.8,0,0
2840.N,D,19990720,120.03,120.03,120.03,120.03,0,0
2840.N,D,19990721,117.89,117.89,117.89,117.89,0,0
2840.N,D,19990722,118.74,118.74,118.74,118.74,0,0
2840.N,D,19990723,118.28,118.28,118.28,118.28,0,0
2840.N,D,19990726,118.84,118.84,118.84,118.84,0,0
2840.N,D,19990727,117.34,117.34,117.34,117.34,0,0
2840.N,D,19990728,118.53,118.53,118.53,118.53,0,0
2840.N,D,19990729,118.8,118.8,118.8,118.8,0,0
2840.N,D,19990730,118.62,118.62,118.62,118.62,0,0
2840.N,D,19990802,119.47,119.47,119.47,119.47,0,0
2840.N,D,19990803,119.76,119.76,119.76,119.76,0,0
2840.N,D,19990804,119.04,119.04,119.04,119.04,0,0
2840.N,D,19990805,118.44,118.44,118.44,118.44,0,0
2840.N,D,19990806,118.25,118.25,118.25,118.25,0,0
2840.N,D,19990809,116.9,116.9,116.9,116.9,0,0
2840.N,D,19990810,116.11,116.11,116.11,116.11,0,0
2840.N,D,19990811,115.21,115.21,115.21,115.21,0,0
2840.N,D,19990812,116.52,116.52,116.52,116.52,0,0
2840.N,D,19990813,116.29,116.29,116.29,116.29,0,0
2840.N,D,19990816,116.89,116.89,116.89,116.89,0,0
2840.N,D,19990817,115.66,115.66,115.66,115.66,0,0
2840.N,D,19990818,115.99,115.99,115.99,115.99,0,0
2840.N,D,19990819,115.92,115.92,115.92,115.92,0,0
2840.N,D,19990820,115.73,115.73,115.73,115.73,0,0
2840.N,D,19990823,116.79,116.79,116.79,116.79,0,0
2840.N,D,19990824,117.78,117.78,117.78,117.78,0,0
2840.N,D,19990825,118.49,118.49,118.49,118.49,0,0
2840.N,D,19990826,119.76,119.76,119.76,119.76,0,0
2840.N,D,19990827,118.95,118.95,118.95,118.95,0,0
2840.N,D,19990830,119.51,119.51,119.51,119.51,0,0
2840.N,D,19990831,118.43,118.43,118.43,118.43,0,0
2840.N,D,19990901,118.22,118.22,118.22,118.22,0,0
2840.N,D,19990902,118.48,118.48,118.48,118.48,0,0
2840.N,D,19990903,117.67,117.67,117.67,117.67,0,0
2840.N,D,19990906,118.29,118.29,118.29,118.29,0,0
2840.N,D,19990907,116.68,116.68,116.68,116.68,0,0
2840.N,D,19990908,116.2,116.2,116.2,116.2,0,0
2840.N,D,19990909,114.84,114.84,114.84,114.84,0,0
2840.N,D,19990910,114.91,114.91,114.91,114.91,0,0
2840.N,D,19990913,114.53,114.53,114.53,114.53,0,0
2840.N,D,19990914,113.38,113.38,113.38,113.38,0,0
2840.N,D,19990915,110.12,110.12,110.12,110.12,0,0
